Gracz	11724	106279
janko	11114	119602
Gracz	10888	121325
Gracz	10656	122897
Gracz	11486	125743
Gracz	11052	127799
Gracz	11038	127990
Gracz	10968	128687
Gracz	10708	129361
janko	11288	130304
 >_< 	10694	130594
Gracz	10966	132273
Gracz	10999	133679
Gracz	10812	133824
janko	11008	134773
janko	11653	134917
janko	11004	135692
Gracz	10896	137468
Gracz	11012	137617
Gracz	11598	137979
Gracz	10842	138747
Gracz	11058	139361
:3	10550	142456
tester	11082	143532
:3	10644	145481
Gracz	11130	146421
Gracz	11798	147624
Gracz	11254	150586
Gracz	11548	154941
Gracz	10672	155299
Gracz	11000	156186
nazwa	11604	158543
Gracz	11346	158748
Gracz	10952	280041
